x=507, y=1652..1666
x=541, y=962..989
x=600, y=75..81
y=650, x=583..593
x=607, y=159..176
x=556, y=674..686
y=42, x=510..534
y=438, x=508..525
y=1828, x=607..633
y=1685, x=572..581
x=530, y=1610..1620
x=523, y=142..153
x=615, y=1139..1153
y=1616, x=472..486
y=476, x=567..580
y=1127, x=628..642
y=1104, x=472..497
y=601, x=551..567
x=556, y=1340..1342
x=486, y=700..717
x=645, y=726..744
x=509, y=1785..1797
x=522, y=311..314
y=670, x=629..631
x=491, y=52..66
x=513, y=1817..1841
x=616, y=83..110
x=635, y=1859..1870
x=642, y=1486..1498
x=639, y=1295..1310
x=471, y=977..1000
y=628, x=470..489
x=616, y=890..906
x=518, y=110..122
x=637, y=384..399
x=598, y=1813..1829
x=627, y=1638..1663
x=574, y=1254..1276
y=1284, x=533..538
y=1743, x=595..612
x=623, y=191..194
x=510, y=657..659
y=1160, x=489..494
x=619, y=1350..1372
y=799, x=538..541
x=639, y=45..49
x=527, y=1847..1849
x=647, y=927..932
x=572, y=54..59
x=503, y=34..44
x=509, y=1610..1620
x=621, y=1073..1075
y=355, x=642..647
y=1499, x=544..562
x=591, y=526..530
y=55, x=547..553
x=494, y=1157..1160
y=467, x=544..547
x=622, y=503..519
x=561, y=474..476
y=898, x=470..490
x=498, y=1293..1306
y=1226, x=520..524
y=1064, x=592..615
x=571, y=831..836
x=630, y=1074..1075
x=561, y=363..375
x=535, y=72..83
y=314, x=522..529
x=595, y=1415..1421
x=559, y=331..340
x=498, y=1117..1121
x=511, y=1135..1147
x=559, y=1532..1534
x=523, y=75..85
x=585, y=1610..1620
x=477, y=848..852
y=1491, x=634..636
x=502, y=765..785
y=1841, x=490..513
x=559, y=530..543
x=469, y=213..226
x=516, y=388..391
y=224, x=623..647
x=554, y=976..991
x=497, y=170..174
x=472, y=636..646
x=513, y=513..517
x=606, y=1731..1740
y=46, x=566..582
y=1143, x=524..552
y=766, x=629..631
y=1223, x=595..600
x=472, y=1599..1616
x=594, y=74..81
y=1556, x=629..646
x=563, y=363..375
x=567, y=474..476
y=609, x=584..586
y=1829, x=598..601
y=1014, x=513..534
y=1865, x=616..620
x=503, y=496..501
y=1541, x=467..470
x=524, y=1401..1413
x=549, y=367..376
y=375, x=561..563
y=1328, x=507..527
y=1500, x=469..491
y=474, x=585..592
y=1038, x=511..529
x=525, y=871..873
x=488, y=1651..1653
x=492, y=9..18
y=1802, x=470..485
x=570, y=1015..1031
x=602, y=1514..1521
x=613, y=104..129
x=514, y=1220..1230
y=1506, x=586..612
x=538, y=789..799
x=504, y=350..360
y=1138, x=535..543
x=538, y=20..38
y=1895, x=614..640
x=568, y=329..349
x=502, y=1228..1248
x=610, y=1712..1722
x=523, y=1378..1387
y=1253, x=474..494
y=1000, x=471..492
x=528, y=285..299
y=80, x=512..517
y=1799, x=607..610
y=675, x=621..637
y=1282, x=641..651
x=485, y=984..997
x=627, y=416..418
y=1684, x=632..642
y=1690, x=610..626
y=1206, x=516..519
x=565, y=708..711
x=648, y=757..763
y=1399, x=470..472
y=1421, x=595..599
x=592, y=450..474
y=1389, x=597..615
x=498, y=201..214
x=521, y=283..292
y=856, x=518..534
x=559, y=617..624
y=1322, x=608..630
x=566, y=1434..1436
x=588, y=185..193
x=509, y=179..190
x=565, y=203..212
x=490, y=889..898
x=580, y=1139..1142
x=542, y=402..411
x=527, y=1611..1620
y=1265, x=534..539
y=1681, x=615..617
y=984, x=477..485
x=526, y=386..398
x=606, y=1594..1596
y=167, x=503..520
x=528, y=468..481
x=621, y=649..675
x=594, y=925..938
x=589, y=230..248
y=226, x=469..474
y=1440, x=505..516
x=594, y=239..243
x=557, y=1463..1471
x=549, y=133..139
x=514, y=626..641
x=498, y=1048..1060
x=582, y=869..882
y=1521, x=578..602
x=540, y=1057..1064
x=535, y=1138..1140
x=520, y=909..918
x=519, y=407..417
y=94, x=647..649
x=546, y=1402..1413
x=599, y=356..370
x=577, y=1651..1663
y=1744, x=493..505
y=1306, x=477..498
x=624, y=471..492
x=615, y=437..460
y=236, x=566..570
x=545, y=21..38
x=559, y=1587..1591
y=53, x=521..540
x=552, y=1116..1143
x=501, y=1785..1797
x=568, y=1249..1270
y=699, x=611..625
x=480, y=57..63
y=1377, x=566..586
x=480, y=902..907
x=607, y=1412..1424
x=614, y=1622..1627
x=631, y=416..418
x=499, y=1663..1676
x=506, y=56..58
x=538, y=762..775
x=625, y=1380..1396
x=642, y=1639..1663
x=527, y=626..641
x=591, y=258..280
y=410, x=584..608
y=1492, x=549..555
x=476, y=1383..1389
x=601, y=326..337
x=510, y=512..517
x=546, y=1791..1800
y=1262, x=623..625
x=583, y=799..815
y=1250, x=531..548
x=570, y=492..507
x=539, y=1404..1410
y=1266, x=509..511
x=624, y=1593..1596
x=577, y=888..897
x=634, y=164..170
x=555, y=1587..1591
x=634, y=7..26
x=504, y=927..932
x=470, y=1375..1399
x=487, y=596..609
x=480, y=602..606
y=110, x=616..625
y=1424, x=502..510
x=553, y=1308..1331
y=1424, x=588..607
y=1407, x=494..500
x=611, y=1334..1341
y=215, x=583..610
x=650, y=275..282
x=624, y=18..28
x=539, y=1036..1053
y=659, x=510..549
y=775, x=538..555
x=585, y=618..624
x=616, y=1774..1783
y=1526, x=640..646
x=637, y=586..595
x=542, y=1858..1865
x=535, y=1381..1390
y=1789, x=633..646
x=649, y=664..688
x=505, y=1132..1143
x=503, y=1132..1143
x=635, y=1350..1372
y=954, x=473..491
y=1100, x=481..484
x=607, y=556..582
x=577, y=1879..1885
y=1235, x=576..585
x=587, y=1547..1557
x=491, y=1587..1593
x=633, y=1758..1760
x=585, y=1223..1235
x=549, y=228..231
x=577, y=1139..1142
y=1724, x=633..635
x=593, y=1334..1341
x=615, y=303..308
x=521, y=678..680
x=567, y=1056..1064
y=564, x=541..561
y=1309, x=579..593
x=582, y=1078..1086
y=602, x=476..480
x=634, y=1491..1495
y=1140, x=535..543
x=563, y=1466..1475
x=588, y=112..117
x=625, y=82..110
y=561, x=549..552
y=1471, x=555..557
x=508, y=856..867
x=495, y=31..41
x=506, y=1185..1188
x=534, y=1464..1485
y=808, x=636..640
x=497, y=1360..1375
y=1370, x=535..553
x=549, y=552..561
x=483, y=893..895
x=571, y=569..577
x=574, y=1789..1791
y=1475, x=546..563
x=481, y=1219..1230
x=534, y=866..876
y=214, x=498..521
x=564, y=426..436
y=252, x=521..529
y=768, x=545..548
x=585, y=309..311
x=559, y=227..243
x=506, y=1200..1210
x=599, y=436..460
x=580, y=475..476
y=1487, x=596..614
y=1892, x=631..633
y=212, x=565..574
y=935, x=580..587
y=609, x=466..487
x=488, y=764..785
x=554, y=1248..1270
y=1147, x=495..511
y=30, x=522..525
x=610, y=1790..1799
x=505, y=551..565
y=1791, x=562..574
x=505, y=1437..1440
x=612, y=1504..1506
x=640, y=384..399
y=1324, x=567..570
x=524, y=1117..1143
y=676, x=469..471
y=1195, x=623..627
x=524, y=451..457
x=524, y=325..338
x=470, y=1788..1802
y=491, x=470..484
y=1166, x=503..526
y=717, x=486..505
y=202, x=538..552
x=514, y=388..391
y=1384, x=604..607
x=484, y=927..932
y=765, x=588..616
x=527, y=1316..1328
x=555, y=1532..1534
x=594, y=703..721
x=561, y=571..581
y=1591, x=555..559
x=618, y=859..863
x=529, y=1201..1210
x=647, y=218..224
y=311, x=522..529
y=52, x=620..622
x=473, y=253..256
y=522, x=471..482
x=625, y=683..699
x=485, y=943..947
x=647, y=69..94
y=1593, x=476..491
y=859, x=551..571
y=411, x=564..580
x=640, y=6..26
y=295, x=565..587
x=595, y=1189..1206
y=278, x=505..526
x=645, y=516..520
y=174, x=566..577
x=478, y=1717..1745
y=1532, x=555..559
x=519, y=689..691
y=1592, x=587..592
x=600, y=1577..1579
y=1540, x=482..507
x=474, y=1243..1253
y=654, x=570..578
x=555, y=1178..1201
y=948, x=607..626
x=534, y=22..42
x=529, y=1423..1434
x=641, y=1272..1282
x=470, y=617..628
x=648, y=1027..1048
y=50, x=605..613
x=638, y=1581..1598
x=576, y=1222..1235
y=337, x=592..601
x=541, y=228..231
y=1404, x=537..539
x=554, y=701..714
y=365, x=573..582
x=581, y=1678..1685
x=630, y=990..1003
x=567, y=1317..1324
x=504, y=326..338
y=1764, x=553..555
x=586, y=1373..1377
y=1579, x=600..606
y=1323, x=515..517
x=599, y=421..433
x=555, y=1757..1764
x=600, y=859..863
x=622, y=407..422
y=834, x=534..554
y=1000, x=617..623
x=605, y=47..50
x=580, y=391..411
x=636, y=1491..1495
x=524, y=1217..1226
x=516, y=368..377
x=549, y=451..457
x=542, y=328..349
y=1109, x=556..571
x=558, y=77..88
y=287, x=490..493
x=640, y=1881..1895
y=1454, x=548..567
x=628, y=1103..1127
x=639, y=1223..1242
y=851, x=525..527
x=631, y=515..520
x=628, y=1431..1457
x=494, y=1523..1528
x=623, y=218..224
x=561, y=1011..1027
x=627, y=264..268
x=636, y=1582..1598
x=637, y=626..636
x=474, y=1553..1581
x=625, y=1621..1627
x=582, y=1433..1436
x=534, y=1295..1307
y=1142, x=577..580
x=480, y=394..397
x=483, y=633..643
y=481, x=510..528
x=628, y=958..966
x=520, y=810..817
x=472, y=271..296
x=504, y=1068..1082
x=525, y=580..604
x=540, y=1079..1087
x=544, y=961..989
x=569, y=1390..1410
x=623, y=1185..1195
x=470, y=464..491
x=548, y=1424..1434
x=486, y=551..564
y=311, x=582..585
x=520, y=156..167
x=574, y=976..991
x=570, y=234..236
x=495, y=1420..1432
x=603, y=974..977
y=1558, x=490..517
x=541, y=554..564
x=545, y=760..768
y=708, x=562..565
y=517, x=510..513
x=513, y=1005..1014
y=1557, x=567..587
x=531, y=411..413
y=1338, x=622..635
x=528, y=1465..1485
x=638, y=275..282
y=985, x=565..568
x=576, y=1317..1329
y=1075, x=621..630
y=1177, x=564..583
y=1538, x=545..567
x=631, y=1379..1396
x=608, y=1298..1322
y=1053, x=467..483
x=542, y=368..376
x=490, y=1816..1841
x=582, y=354..365
y=1031, x=570..597
x=509, y=1111..1125
x=635, y=786..792
y=1518, x=535..552
y=867, x=508..513
x=610, y=630..649
x=497, y=347..356
y=1432, x=495..522
x=584, y=770..776
x=572, y=111..117
x=529, y=250..252
x=647, y=345..355
x=563, y=1188..1198
y=907, x=480..483
x=546, y=1465..1475
x=478, y=1384..1389
x=633, y=1890..1892
y=861, x=470..490
x=501, y=12..25
x=494, y=810..817
x=539, y=1833..1844
x=625, y=1485..1498
x=567, y=1444..1454
x=521, y=202..214
y=1745, x=470..478
x=567, y=1546..1557
x=573, y=700..714
x=492, y=1361..1375
x=534, y=1256..1265
x=516, y=433..435
y=751, x=527..553
x=588, y=1411..1424
y=1387, x=523..525
y=360, x=487..504
y=1055, x=599..605
x=511, y=581..604
x=623, y=1262..1264
x=511, y=1266..1268
y=169, x=469..471
y=1048, x=648..651
x=485, y=1069..1082
x=543, y=689..691
x=646, y=1534..1556
y=1312, x=613..622
y=581, x=561..577
y=625, x=476..480
x=651, y=39..55
x=545, y=1277..1288
y=840, x=559..577
x=513, y=208..211
y=248, x=586..589
y=1740, x=604..606
y=32, x=522..525
x=525, y=1378..1387
y=1847, x=476..479
x=544, y=1487..1499
x=477, y=984..997
x=639, y=756..763
x=472, y=1090..1104
x=565, y=982..985
x=631, y=658..670
x=622, y=1307..1312
x=516, y=1438..1440
y=660, x=576..600
y=243, x=559..580
x=564, y=1173..1177
y=476, x=550..561
x=566, y=890..903
y=83, x=535..537
x=596, y=1629..1641
x=591, y=347..349
y=932, x=636..647
x=611, y=524..535
x=620, y=1855..1865
y=1849, x=502..527
x=601, y=103..129
x=497, y=1493..1499
x=584, y=891..903
x=568, y=1584..1595
x=598, y=1586..1599
y=1049, x=569..574
y=1870, x=635..653
x=616, y=759..765
y=624, x=559..585
y=966, x=628..631
x=516, y=1629..1641
x=612, y=1238..1252
x=579, y=1585..1599
x=549, y=1775..1781
x=547, y=278..300
x=476, y=1620..1634
x=588, y=758..765
x=547, y=51..55
x=508, y=429..438
y=953, x=503..507
y=881, x=516..531
y=234, x=506..523
y=691, x=519..543
y=25, x=483..501
y=1077, x=523..534
y=1800, x=529..546
x=471, y=1177..1191
y=398, x=504..526
y=1271, x=502..517
x=483, y=1553..1581
x=643, y=263..268
x=552, y=807..819
y=1499, x=497..519
x=554, y=824..834
x=531, y=1730..1755
y=973, x=527..529
y=1599, x=579..598
x=541, y=1308..1331
x=469, y=662..676
y=1396, x=625..631
x=627, y=1234..1237
x=506, y=224..234
x=516, y=1380..1390
x=594, y=154..171
x=543, y=1584..1595
x=544, y=463..467
y=811, x=618..646
x=577, y=303..315
x=493, y=281..287
y=496, x=503..528
y=1299, x=555..571
y=88, x=553..558
y=1325, x=515..517
x=583, y=185..193
y=460, x=599..615
y=1242, x=618..639
y=1674, x=615..617
x=510, y=1228..1248
x=493, y=137..146
y=1495, x=474..477
y=565, x=505..523
x=521, y=250..252
x=629, y=658..670
x=548, y=1239..1250
x=564, y=1340..1342
x=639, y=407..422
x=466, y=595..609
y=126, x=509..528
y=1288, x=527..545
y=947, x=481..485
y=488, x=615..617
y=1719, x=600..602
x=515, y=1178..1191
y=643, x=483..485
x=482, y=806..826
x=497, y=120..131
y=658, x=629..631
x=602, y=1793..1804
y=978, x=519..536
y=222, x=608..610
x=494, y=347..356
y=945, x=616..619
y=997, x=477..485
x=580, y=226..243
y=59, x=572..600
x=529, y=1792..1800
y=1276, x=574..594
x=525, y=428..438
x=631, y=754..766
y=1495, x=634..636
x=550, y=512..522
y=429, x=547..549
y=686, x=556..559
x=579, y=630..640
x=576, y=657..660
y=1727, x=623..641
y=190, x=509..532
x=572, y=631..640
x=623, y=1707..1727
x=469, y=912..931
x=562, y=1789..1791
x=570, y=133..139
x=600, y=630..649
x=626, y=939..948
y=1421, x=473..488
x=498, y=1338..1351
x=651, y=1271..1282
x=570, y=650..654
x=609, y=1771..1780
x=633, y=1068..1077
x=630, y=1298..1322
x=563, y=1843..1851
x=610, y=303..308
x=583, y=211..215
y=836, x=500..523
x=505, y=699..717
x=596, y=1462..1487
x=532, y=178..190
y=44, x=485..503
x=556, y=1441..1449
x=472, y=806..826
x=590, y=1188..1206
x=474, y=214..226
y=895, x=480..483
y=143, x=500..502
x=574, y=1037..1049
x=523, y=1058..1077
x=548, y=1443..1454
x=574, y=426..436
x=490, y=1111..1125
y=229, x=608..610
x=550, y=867..876
x=496, y=1281..1285
x=509, y=113..126
x=571, y=1296..1299
x=547, y=464..467
y=1620, x=509..527
x=569, y=806..819
x=615, y=871..887
x=482, y=1533..1540
y=1261, x=491..493
x=528, y=112..126
y=1775, x=578..587
x=615, y=1044..1064
x=523, y=612..618
y=1064, x=540..567
x=509, y=136..146
x=544, y=1776..1781
x=592, y=1043..1064
y=1372, x=619..635
y=815, x=583..597
x=575, y=1544..1552
x=626, y=1669..1690
y=232, x=597..617
y=1474, x=628..637
y=1087, x=540..554
y=315, x=577..592
x=515, y=1615..1617
x=653, y=1860..1870
y=1407, x=479..482
y=997, x=501..519
y=1615, x=515..519
y=1153, x=615..629
x=467, y=1534..1541
x=503, y=56..58
x=489, y=210..227
x=543, y=1138..1140
x=582, y=43..46
x=467, y=1219..1230
y=792, x=583..586
x=577, y=1072..1080
x=563, y=655..665
x=540, y=1237..1247
x=617, y=218..232
x=616, y=1514..1522
x=505, y=1726..1744
x=606, y=181..203
x=556, y=1565..1576
y=931, x=580..587
x=469, y=550..564
x=607, y=938..948
x=543, y=1179..1201
x=555, y=1295..1299
y=250, x=521..529
y=126, x=544..565
x=592, y=1097..1102
x=493, y=1260..1261
y=694, x=495..516
x=610, y=1567..1570
x=544, y=1356..1366
x=502, y=1259..1271
x=472, y=1376..1399
x=615, y=1377..1389
y=1125, x=490..509
y=507, x=557..570
x=616, y=1022..1034
x=481, y=1153..1163
y=211, x=513..515
y=234, x=566..570
x=616, y=942..945
x=558, y=1842..1851
x=503, y=97..99
x=523, y=679..680
x=511, y=222..230
y=356, x=494..497
x=525, y=843..851
y=1682, x=528..534
x=583, y=630..650
x=579, y=1287..1309
y=230, x=511..513
y=292, x=518..521
x=493, y=1725..1744
y=1576, x=556..579
y=300, x=547..554
x=471, y=161..169
x=503, y=951..953
x=579, y=1565..1576
y=582, x=591..607
y=1341, x=593..611
x=580, y=931..935
y=268, x=627..643
y=1053, x=532..539
y=1247, x=540..542
y=804, x=636..640
x=510, y=158..164
x=479, y=1830..1847
x=567, y=786..798
x=485, y=633..643
x=470, y=1717..1745
x=529, y=1876..1890
x=630, y=1234..1237
x=572, y=269..278
y=1887, x=593..604
x=526, y=265..278
x=525, y=30..32
y=1027, x=561..566
x=618, y=1792..1804
x=550, y=1875..1890
x=587, y=1773..1775
x=537, y=406..417
x=623, y=998..1000
x=600, y=1215..1223
x=535, y=1857..1865
y=66, x=547..568
y=1666, x=507..529
x=479, y=1407..1414
x=552, y=1507..1518
x=491, y=1259..1261
y=1270, x=554..568
y=519, x=605..622
x=625, y=874..877
x=507, y=1316..1328
x=572, y=1121..1145
x=630, y=72..75
x=548, y=760..768
x=482, y=1848..1852
y=1329, x=576..582
y=1163, x=481..500
x=511, y=985..994
y=139, x=549..570
x=482, y=87..95
y=641, x=514..527
x=483, y=902..907
y=836, x=567..571
y=1684, x=528..534
x=537, y=71..83
x=499, y=574..586
y=1636, x=572..587
x=564, y=390..411
y=1783, x=596..616
y=1606, x=626..639
x=619, y=942..945
x=617, y=1674..1681
x=651, y=571..578
x=498, y=1823..1830
x=471, y=662..676
x=578, y=649..654
x=584, y=1151..1157
x=546, y=71..95
y=1188, x=506..509
x=473, y=913..931
x=516, y=865..881
x=565, y=677..689
